Obs,cohort,label_cohort,cohort_years,dod_occ_code_level,dod_occ_code,label_dod_occ_code,ind_level,industry,label_industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn
150,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,71,"Arts, Entertainment, and Recreation",301,231,149,18510,22100,22210,24910,31100,38160,35800,44470,59570,1,1,1,1,1,1
151,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,72,Accommodation and Food Services,1113,769,434,16430,18120,19310,21630,24050,27550,31220,36460,41430,1,1,1,1,1,1
152,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,81,Other Services (except Public Administration),831,647,313,22810,24720,27490,33840,38160,42810,48060,52900,60520,1,1,1,1,1,1
153,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,92,Public Administration,2472,2482,1640,25920,32440,35940,33580,41140,45460,41940,53750,61730,1,1,1,1,1,1
154,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,99,Federal Government,8123,11390,7595,33990,43570,48360,44190,56230,65000,60890,75380,85420,1,1,1,1,1,1
155,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",A,0,All NAICS sectors,49900,41440,25880,24560,32070,36860,36290,46670,52600,52170,64510,72740,1,1,1,1,1,1
156,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,11,"Agriculture, Forestry, Fishing and Hunting",239,118,81,22030,27630,30200,30140,36580,41140,39870,51060,53590,1,1,1,1,1,1
157,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,21,"Mining, Quarrying, and Oil and Gas Extraction",1009,710,421,38290,50890,60220,54370,72320,82820,74040,97180,110100,1,1,1,1,1,1
158,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,22,Utilities,216,275,244,32610,47680,57290,45920,65450,77750,61400,86790,105200,1,1,1,1,1,1
159,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,23,Construction,2998,2282,1233,23410,29380,33370,32620,40610,48710,45160,57050,68090,1,1,1,1,1,1
160,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,31-33,Manufacturing,6063,4815,2869,27120,33680,38970,38690,48420,52550,55500,67080,73700,1,1,1,1,1,1
161,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,42,Wholesale Trade,3332,2464,1467,27040,34320,38500,37010,46670,53110,48830,62060,72040,1,1,1,1,1,1
162,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,44-45,Retail Trade,5397,3366,1767,18340,22670,24960,24950,31820,37080,34600,44410,52900,1,1,1,1,1,1
163,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,48-49,Transportation and Warehousing,5448,3641,1838,28960,35100,37520,41750,50490,52030,59140,68450,69850,1,1,1,1,1,1
164,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,51,Information,863,811,530,27890,36200,41260,39280,49740,58560,57920,73950,84870,1,1,1,1,1,1
165,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,52,Finance and Insurance,497,535,342,22030,27830,35290,31490,40730,47220,43840,53750,67330,1,1,1,1,1,1
166,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,53,Real Estate and Rental and Leasing,1056,649,415,24900,30750,35020,35610,43250,49330,46800,55850,63600,1,1,1,1,1,1
167,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,54,"Professional, Scientific, and Technical Services",4139,3395,1776,39470,45530,47140,56180,64600,68290,75310,87090,95390,1,1,1,1,1,1
168,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,55,Management of Companies and Enterprises,444,385,278,24770,31590,39020,37660,48610,56190,55380,72530,79180,1,1,1,1,1,1
169,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,56,"Administrative and Support and Waste
Management and Remediation Services",5550,3426,1711,21350,25430,26340,30830,38700,40770,46520,57830,63690,1,1,1,1,1,1
170,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,61,Educational Services,1042,1152,885,26570,30930,33500,41640,44890,47560,57900,59060,63680,1,1,1,1,1,1
171,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,62,Health Care and Social Assistance,2582,2972,2480,23180,28630,34980,34060,42080,52750,51680,61440,72280,1,1,1,1,1,1
172,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,71,"Arts, Entertainment, and Recreation",341,313,190,18790,21480,22940,25040,30700,35640,35660,44170,47980,1,1,1,1,1,1
173,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,72,Accommodation and Food Services,1080,789,490,16220,17410,19170,21090,23010,25380,29780,35000,40070,1,1,1,1,1,1
174,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,81,Other Services (except Public Administration),2304,1522,815,23990,29760,32020,34260,42520,45340,48300,56830,63060,1,1,1,1,1,1
175,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,92,Public Administration,2053,2401,1751,26050,35330,38670,34220,43960,50540,42000,57170,68880,1,1,1,1,1,1
176,0,2000-2015,16,2,16X,"Electrical/Mechanical Equipment
Repairers",N,99,Federal Government,3214,5381,4279,34740,44350,48480,45190,55350,60770,56810,68660,77510,1,1,1,1,1,1
177,0,2000-2015,16,2,17X,Craftsworkers,A,0,All NAICS sectors,12910,11870,8383,22510,30690,36640,32630,43760,51190,45550,59860,71020,1,1,1,1,1,1
178,0,2000-2015,16,2,17X,Craftsworkers,N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
179,0,2000-2015,16,2,17X,Craftsworkers,N,21,"Mining, Quarrying, and Oil and Gas Extraction",210,180,107,38720,40180,58330,53820,68680,82000,68300,89730,111900,1,1,1,1,1,1
180,0,2000-2015,16,2,17X,Craftsworkers,N,22,Utilities,105,87,72,32860,47770,51120,43050,63590,68930,58330,84120,100600,1,1,1,1,1,1
181,0,2000-2015,16,2,17X,Craftsworkers,N,23,Construction,1440,860,473,23700,31340,37640,32720,43740,52840,44650,61220,70860,1,1,1,1,1,1
182,0,2000-2015,16,2,17X,Craftsworkers,N,31-33,Manufacturing,1291,963,620,24720,30690,33680,33670,43160,47050,44220,56140,63890,1,1,1,1,1,1
183,0,2000-2015,16,2,17X,Craftsworkers,N,42,Wholesale Trade,492,412,251,22840,29590,36190,31930,40490,53650,44350,54140,74790,1,1,1,1,1,1
184,0,2000-2015,16,2,17X,Craftsworkers,N,44-45,Retail Trade,1034,727,397,16910,20820,22440,22580,29600,32110,32420,40980,46980,1,1,1,1,1,1
185,0,2000-2015,16,2,17X,Craftsworkers,N,48-49,Transportation and Warehousing,635,444,274,21760,31000,29870,29820,43390,44000,42400,56960,61160,1,1,1,1,1,1
186,0,2000-2015,16,2,17X,Craftsworkers,N,51,Information,176,175,126,26200,33270,41380,34280,44860,61020,47430,61490,80340,1,1,1,1,1,1
187,0,2000-2015,16,2,17X,Craftsworkers,N,52,Finance and Insurance,182,184,129,20740,30260,36760,29520,42300,53660,42090,55950,74030,1,1,1,1,1,1
188,0,2000-2015,16,2,17X,Craftsworkers,N,53,Real Estate and Rental and Leasing,193,155,80,21440,29200,30260,31830,37630,42730,42570,54020,61020,1,1,1,1,1,1
189,0,2000-2015,16,2,17X,Craftsworkers,N,54,"Professional, Scientific, and Technical Services",662,603,382,32090,37190,42440,49120,56720,64650,67220,82590,92980,1,1,1,1,1,1
190,0,2000-2015,16,2,17X,Craftsworkers,N,55,Management of Companies and Enterprises,81,110,93,21430,30060,37330,31720,45030,51370,44900,61270,72630,1,1,1,1,1,1
191,0,2000-2015,16,2,17X,Craftsworkers,N,56,"Administrative and Support and Waste
Management and Remediation Services",1618,941,482,19870,23680,24730,28950,35360,39190,42590,52590,56760,1,1,1,1,1,1
192,0,2000-2015,16,2,17X,Craftsworkers,N,61,Educational Services,305,410,335,22530,28690,33470,33210,44890,48190,50300,58240,60680,1,1,1,1,1,1
193,0,2000-2015,16,2,17X,Craftsworkers,N,62,Health Care and Social Assistance,1717,2090,1719,22560,29790,36640,31910,43510,53140,45130,61100,71840,1,1,1,1,1,1
194,0,2000-2015,16,2,17X,Craftsworkers,N,71,"Arts, Entertainment, and Recreation",106,97,60,18830,21950,25070,24270,34690,36580,31090,49240,52620,1,1,1,1,1,1
195,0,2000-2015,16,2,17X,Craftsworkers,N,72,Accommodation and Food Services,350,295,154,15730,17220,18410,19840,23950,25070,27370,37530,42570,1,1,1,1,1,1
196,0,2000-2015,16,2,17X,Craftsworkers,N,81,Other Services (except Public Administration),230,167,97,21720,24190,28810,30200,36710,42090,43440,50770,59270,1,1,1,1,1,1
197,0,2000-2015,16,2,17X,Craftsworkers,N,92,Public Administration,726,828,611,27160,35230,39810,34570,45290,51880,43220,60460,73690,1,1,1,1,1,1
198,0,2000-2015,16,2,17X,Craftsworkers,N,99,Federal Government,1296,2121,1900,31780,40670,44460,40070,50440,56390,51260,63360,74290,1,1,1,1,1,1
199,0,2000-2015,16,2,18X,Service and Supply Handlers,A,0,All NAICS sectors,40270,32630,18980,22110,28980,33580,31970,41740,48450,44480,57290,68360,1,1,1,1,1,1
200,0,2000-2015,16,2,18X,Service and Supply Handlers,N,11,"Agriculture, Forestry, Fishing and Hunting",130,55,.,19040,24450,.,27980,30980,.,35970,40340,.,1,1,5,1,1,5
201,0,2000-2015,16,2,18X,Service and Supply Handlers,N,21,"Mining, Quarrying, and Oil and Gas Extraction",657,382,238,35650,46340,53870,52560,66830,79200,69410,88730,103900,1,1,1,1,1,1
202,0,2000-2015,16,2,18X,Service and Supply Handlers,N,22,Utilities,219,256,185,29520,42300,50590,40500,55380,67180,54250,73480,90000,1,1,1,1,1,1
203,0,2000-2015,16,2,18X,Service and Supply Handlers,N,23,Construction,2190,1502,693,21790,27800,32090,30290,39370,44630,41630,54310,62990,1,1,1,1,1,1
204,0,2000-2015,16,2,18X,Service and Supply Handlers,N,31-33,Manufacturing,3495,2634,1538,23500,30050,34580,31760,40700,47430,42710,54950,63560,1,1,1,1,1,1
205,0,2000-2015,16,2,18X,Service and Supply Handlers,N,42,Wholesale Trade,1743,1272,685,24050,29390,32690,33040,39630,46520,44050,52790,62260,1,1,1,1,1,1
206,0,2000-2015,16,2,18X,Service and Supply Handlers,N,44-45,Retail Trade,3803,2448,1145,17920,21320,23990,23710,30150,35110,33290,42710,50280,1,1,1,1,1,1
207,0,2000-2015,16,2,18X,Service and Supply Handlers,N,48-49,Transportation and Warehousing,3392,1998,1100,22510,28910,31170,31620,40740,45040,44590,54070,60930,1,1,1,1,1,1
208,0,2000-2015,16,2,18X,Service and Supply Handlers,N,51,Information,556,527,310,24050,31990,39080,34580,43230,53960,47180,60070,75310,1,1,1,1,1,1
209,0,2000-2015,16,2,18X,Service and Supply Handlers,N,52,Finance and Insurance,676,646,380,21180,28560,34860,30390,40180,47870,41360,51600,67090,1,1,1,1,1,1
210,0,2000-2015,16,2,18X,Service and Supply Handlers,N,53,Real Estate and Rental and Leasing,535,385,221,20450,24800,28720,27930,33870,38000,38510,46920,55010,1,1,1,1,1,1
211,0,2000-2015,16,2,18X,Service and Supply Handlers,N,54,"Professional, Scientific, and Technical Services",1921,1698,953,30880,37160,41860,46820,54640,63550,69980,82480,93900,1,1,1,1,1,1
212,0,2000-2015,16,2,18X,Service and Supply Handlers,N,55,Management of Companies and Enterprises,307,306,194,21010,28570,33480,29410,43460,44520,43830,64740,73280,1,1,1,1,1,1
213,0,2000-2015,16,2,18X,Service and Supply Handlers,N,56,"Administrative and Support and Waste
Management and Remediation Services",6184,3330,1534,20100,24050,25370,28420,35490,38910,41660,52670,60250,1,1,1,1,1,1
214,0,2000-2015,16,2,18X,Service and Supply Handlers,N,61,Educational Services,933,1060,774,22340,25400,29430,33820,39300,44270,49510,55310,60670,1,1,1,1,1,1
215,0,2000-2015,16,2,18X,Service and Supply Handlers,N,62,Health Care and Social Assistance,1644,1996,1429,18880,23040,25950,25660,31140,36830,34390,43120,52130,1,1,1,1,1,1
216,0,2000-2015,16,2,18X,Service and Supply Handlers,N,71,"Arts, Entertainment, and Recreation",498,374,168,18990,24560,25390,24980,33790,39820,34240,49840,54280,1,1,1,1,1,1
217,0,2000-2015,16,2,18X,Service and Supply Handlers,N,72,Accommodation and Food Services,2170,1445,683,17120,18970,20470,22490,26950,29280,32890,39290,43190,1,1,1,1,1,1
218,0,2000-2015,16,2,18X,Service and Supply Handlers,N,81,Other Services (except Public Administration),728,520,264,21330,24530,26440,31310,34530,36450,42730,48120,50900,1,1,1,1,1,1
219,0,2000-2015,16,2,18X,Service and Supply Handlers,N,92,Public Administration,4239,4167,2666,27580,36170,40250,35570,46580,54410,44230,61290,74430,1,1,1,1,1,1
220,0,2000-2015,16,2,18X,Service and Supply Handlers,N,99,Federal Government,4253,5635,3771,33500,41140,45820,42160,51710,58870,53190,67160,80290,1,1,1,1,1,1
221,2000,2000-2007,8,A,0,All occupations,A,0,All NAICS sectors,182800,198200,155000,23230,31460,36500,34280,45750,52630,49450,65220,75530,1,1,1,1,1,1
222,2000,2000-2007,8,A,0,All occupations,N,11,"Agriculture, Forestry, Fishing and Hunting",491,460,403,19270,24680,25310,27240,34310,35930,36210,46430,47620,1,1,1,1,1,1
223,2000,2000-2007,8,A,0,All occupations,N,21,"Mining, Quarrying, and Oil and Gas Extraction",1995,2442,2218,34930,48320,56760,49490,67770,81230,65000,90540,109500,1,1,1,1,1,1
224,2000,2000-2007,8,A,0,All occupations,N,22,Utilities,857,1393,1414,29850,44240,54340,41220,61030,74290,56760,81630,97320,1,1,1,1,1,1
225,2000,2000-2007,8,A,0,All occupations,N,23,Construction,12370,11290,7557,22140,28880,33800,31030,41200,48440,42840,57520,68970,1,1,1,1,1,1
226,2000,2000-2007,8,A,0,All occupations,N,31-33,Manufacturing,17620,18080,14370,24750,31880,36590,34660,44820,51100,48010,61890,71810,1,1,1,1,1,1
227,2000,2000-2007,8,A,0,All occupations,N,42,Wholesale Trade,8439,8403,6647,24870,31480,36050,34640,43640,50200,47580,59750,69830,1,1,1,1,1,1
228,2000,2000-2007,8,A,0,All occupations,N,44-45,Retail Trade,19160,14760,9465,17860,21890,24690,24660,31300,36190,34740,44290,52280,1,1,1,1,1,1
229,2000,2000-2007,8,A,0,All occupations,N,48-49,Transportation and Warehousing,11230,10130,7553,23710,30280,33200,34540,43950,47650,48730,61130,65680,1,1,1,1,1,1
230,2000,2000-2007,8,A,0,All occupations,N,51,Information,5744,5928,4273,29100,37080,44190,43170,53090,62540,65660,77860,86680,1,1,1,1,1,1
231,2000,2000-2007,8,A,0,All occupations,N,52,Finance and Insurance,3451,4098,3377,22750,30320,36950,31620,41850,51210,42700,56650,72920,1,1,1,1,1,1
232,2000,2000-2007,8,A,0,All occupations,N,53,Real Estate and Rental and Leasing,2815,2488,1773,20910,26920,30990,30440,38490,43580,42120,52340,60830,1,1,1,1,1,1
233,2000,2000-2007,8,A,0,All occupations,N,54,"Professional, Scientific, and Technical Services",18510,20250,13630,39540,48330,50830,58740,71050,75030,82410,101000,108000,1,1,1,1,1,1
234,2000,2000-2007,8,A,0,All occupations,N,55,Management of Companies and Enterprises,1676,1974,1806,23880,32480,38090,35740,48120,56240,53160,71620,82240,1,1,1,1,1,1
235,2000,2000-2007,8,A,0,All occupations,N,56,"Administrative and Support and Waste
Management and Remediation Services",23630,17370,11120,20620,24750,26200,30060,37580,40460,43820,56400,62550,1,1,1,1,1,1
236,2000,2000-2007,8,A,0,All occupations,N,61,Educational Services,5436,7411,6845,26120,30940,34870,40270,46180,49600,55670,62600,66040,1,1,1,1,1,1
237,2000,2000-2007,8,A,0,All occupations,N,62,Health Care and Social Assistance,9397,12670,11450,21310,26290,31200,29960,37630,45790,42850,54210,64980,1,1,1,1,1,1
238,2000,2000-2007,8,A,0,All occupations,N,71,"Arts, Entertainment, and Recreation",1766,1770,1240,18380,22730,24750,24950,33060,38310,34130,47600,57200,1,1,1,1,1,1
239,2000,2000-2007,8,A,0,All occupations,N,72,Accommodation and Food Services,6385,5468,3817,15860,18120,19990,21130,24850,27780,29770,36930,42070,1,1,1,1,1,1
240,2000,2000-2007,8,A,0,All occupations,N,81,Other Services (except Public Administration),4580,4176,2861,22280,26970,29780,32970,40250,43600,45850,54980,60430,1,1,1,1,1,1
241,2000,2000-2007,8,A,0,All occupations,N,92,Public Administration,12090,17070,14320,27290,36030,39810,35300,46210,52820,43880,60660,72280,1,1,1,1,1,1
242,2000,2000-2007,8,A,0,All occupations,N,99,Federal Government,15210,30540,28800,33320,43320,48330,42610,55410,63600,55790,72540,84280,1,1,1,1,1,1
243,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",A,0,All NAICS sectors,51170,54980,43830,21550,29480,35020,31150,42760,50430,43570,59890,71860,1,1,1,1,1,1
244,2000,2000-2007,8,2,11X,Electronic Equipment Repairers,A,0,All NAICS sectors,11640,12950,9905,25450,34310,39820,39430,51300,59020,61910,75520,84770,1,1,1,1,1,1
245,2000,2000-2007,8,2,12X,"Communications and Intelligence
Specialists",A,0,All NAICS sectors,21590,23330,18100,24500,34070,39920,38460,52200,60360,62980,80400,88700,1,1,1,1,1,1
246,2000,2000-2007,8,2,13X,Health Care Specialists,A,0,All NAICS sectors,3755,4085,2022,26530,34610,40780,38350,49000,57250,53920,67090,79210,1,1,1,1,1,1
247,2000,2000-2007,8,2,14X,Other Allied Professions,A,0,All NAICS sectors,3977,4593,3926,23990,31570,38170,36800,47440,55950,53500,68940,81270,1,1,1,1,1,1
248,2000,2000-2007,8,2,15X,"Functional Support and
Administration",A,0,All NAICS sectors,28170,31240,24010,24670,33140,37320,36120,47320,53450,52390,67870,77330,1,1,1,1,1,1
249,2000,2000-2007,8,2,16X,"Electrical/Mechanical Equipment
Repairers",A,0,All NAICS sectors,30860,32640,25870,24430,32360,36880,35800,46930,52630,50730,64740,72740,1,1,1,1,1,1
250,2000,2000-2007,8,2,17X,Craftsworkers,A,0,All NAICS sectors,9215,10150,8388,22880,31140,36660,33100,44330,51220,45990,60610,71020,1,1,1,1,1,1
251,2000,2000-2007,8,2,18X,Service and Supply Handlers,A,0,All NAICS sectors,22450,24250,18970,22260,29540,33590,32240,42480,48450,44440,58260,68400,1,1,1,1,1,1
252,2008,2008-2015,8,A,0,All occupations,A,0,All NAICS sectors,129400,64620,.,23470,30190,.,35190,44350,.,53650,64890,.,1,1,-1,1,1,-1
253,2008,2008-2015,8,A,0,All occupations,N,11,"Agriculture, Forestry, Fishing and Hunting",578,198,.,20530,22800,.,27100,32900,.,36670,45200,.,1,1,-1,1,1,-1
254,2008,2008-2015,8,A,0,All occupations,N,21,"Mining, Quarrying, and Oil and Gas Extraction",2993,1176,.,38840,51270,.,56380,73880,.,75720,97850,.,1,1,-1,1,1,-1
255,2008,2008-2015,8,A,0,All occupations,N,22,Utilities,671,458,.,31320,48200,.,43330,66230,.,59960,86480,.,1,1,-1,1,1,-1
256,2008,2008-2015,8,A,0,All occupations,N,23,Construction,8363,3411,.,22700,27740,.,31590,39240,.,43640,55710,.,1,1,-1,1,1,-1
257,2008,2008-2015,8,A,0,All occupations,N,31-33,Manufacturing,12180,6056,.,24880,31580,.,34730,43450,.,49260,60750,.,1,1,-1,1,1,-1
258,2008,2008-2015,8,A,0,All occupations,N,42,Wholesale Trade,5630,2692,.,24200,30730,.,33790,43010,.,46630,59350,.,1,1,-1,1,1,-1
259,2008,2008-2015,8,A,0,All occupations,N,44-45,Retail Trade,11140,4462,.,17670,20080,.,22810,27540,.,32140,39400,.,1,1,-1,1,1,-1
260,2008,2008-2015,8,A,0,All occupations,N,48-49,Transportation and Warehousing,8103,3244,.,23010,28560,.,33220,40740,.,48770,58210,.,1,1,-1,1,1,-1
261,2008,2008-2015,8,A,0,All occupations,N,51,Information,2593,1319,.,28120,35450,.,39820,49680,.,61960,69240,.,1,1,-1,1,1,-1
262,2008,2008-2015,8,A,0,All occupations,N,52,Finance and Insurance,1968,1218,.,22560,31260,.,32270,44400,.,45530,61620,.,1,1,-1,1,1,-1
263,2008,2008-2015,8,A,0,All occupations,N,53,Real Estate and Rental and Leasing,1701,722,.,22090,26070,.,30420,37200,.,43200,50990,.,1,1,-1,1,1,-1
264,2008,2008-2015,8,A,0,All occupations,N,54,"Professional, Scientific, and Technical Services",17020,7120,.,44390,46900,.,66890,69280,.,96480,98950,.,1,1,-1,1,1,-1
265,2008,2008-2015,8,A,0,All occupations,N,55,Management of Companies and Enterprises,1225,631,.,24060,32030,.,37760,46210,.,60900,67540,.,1,1,-1,1,1,-1
266,2008,2008-2015,8,A,0,All occupations,N,56,"Administrative and Support and Waste
Management and Remediation Services",17390,6056,.,20330,23330,.,28500,33770,.,43350,52030,.,1,1,-1,1,1,-1
267,2008,2008-2015,8,A,0,All occupations,N,61,Educational Services,3386,2349,.,27070,29260,.,44330,44190,.,61030,61580,.,1,1,-1,1,1,-1
268,2008,2008-2015,8,A,0,All occupations,N,62,Health Care and Social Assistance,5405,3936,.,20530,25490,.,29010,36380,.,41130,52130,.,1,1,-1,1,1,-1
269,2008,2008-2015,8,A,0,All occupations,N,71,"Arts, Entertainment, and Recreation",1171,643,.,17940,22010,.,23410,31190,.,33630,43820,.,1,1,-1,1,1,-1
270,2008,2008-2015,8,A,0,All occupations,N,72,Accommodation and Food Services,4115,1765,.,16910,17950,.,21100,24050,.,28830,33740,.,1,1,-1,1,1,-1
271,2008,2008-2015,8,A,0,All occupations,N,81,Other Services (except Public Administration),2900,1315,.,21840,25510,.,31600,37030,.,46890,51680,.,1,1,-1,1,1,-1
272,2008,2008-2015,8,A,0,All occupations,N,92,Public Administration,7746,4855,.,26270,34150,.,34010,43190,.,42380,57080,.,1,1,-1,1,1,-1
273,2008,2008-2015,8,A,0,All occupations,N,99,Federal Government,12980,10990,.,34870,42950,.,45350,55440,.,61120,75000,.,1,1,-1,1,1,-1
274,2008,2008-2015,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",A,0,All NAICS sectors,36440,18750,.,21930,28860,.,31750,41970,.,47330,61210,.,1,1,-1,1,1,-1
275,2008,2008-2015,8,2,11X,Electronic Equipment Repairers,A,0,All NAICS sectors,7698,3750,.,26490,33830,.,42570,53360,.,67350,78750,.,1,1,-1,1,1,-1
276,2008,2008-2015,8,2,12X,"Communications and Intelligence
Specialists",A,0,All NAICS sectors,16290,8344,.,25090,31980,.,40510,49730,.,72340,77660,.,1,1,-1,1,1,-1
277,2008,2008-2015,8,2,13X,Health Care Specialists,A,0,All NAICS sectors,8391,4516,.,24360,32110,.,35940,44390,.,50590,60790,.,1,1,-1,1,1,-1
278,2008,2008-2015,8,2,14X,Other Allied Professions,A,0,All NAICS sectors,1971,1089,.,26980,33970,.,41810,50730,.,66900,73020,.,1,1,-1,1,1,-1
279,2008,2008-2015,8,2,15X,"Functional Support and
Administration",A,0,All NAICS sectors,18100,9283,.,25670,31800,.,39570,46930,.,59560,68920,.,1,1,-1,1,1,-1
280,2008,2008-2015,8,2,16X,"Electrical/Mechanical Equipment
Repairers",A,0,All NAICS sectors,19020,8782,.,24760,31010,.,37220,45650,.,55190,63590,.,1,1,-1,1,1,-1
281,2008,2008-2015,8,2,17X,Craftsworkers,A,0,All NAICS sectors,3684,1727,.,21810,28410,.,31420,40330,.,44400,55820,.,1,1,-1,1,1,-1
282,2008,2008-2015,8,2,18X,Service and Supply Handlers,A,0,All NAICS sectors,17820,8387,.,21940,27570,.,31620,39650,.,44550,54830,.,1,1,-1,1,1,-1
283,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,11,"Agriculture, Forestry, Fishing and Hunting",202,198,158,18750,25870,25640,26270,33860,38180,34950,45240,49960,1,1,1,1,1,1
284,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,21,"Mining, Quarrying, and Oil and Gas Extraction",789,981,939,33640,48710,56160,48610,67860,80130,63270,90000,108400,1,1,1,1,1,1
285,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,22,Utilities,293,504,510,28700,44690,54720,41690,62720,77750,57780,85110,98230,1,1,1,1,1,1
286,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,23,Construction,5165,4769,3216,21490,28040,33240,29550,40360,47670,40230,55720,67690,1,1,1,1,1,1
287,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,31-33,Manufacturing,5870,6003,4866,23560,30410,35230,32680,42310,49030,44210,57430,68830,1,1,1,1,1,1
288,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,42,Wholesale Trade,2430,2504,2092,22960,30160,34930,31370,41920,47880,42470,55930,65850,1,1,1,1,1,1
289,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,44-45,Retail Trade,6436,4926,3093,17870,21700,25550,24500,31180,37390,34320,44180,52810,1,1,1,1,1,1
290,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,48-49,Transportation and Warehousing,2864,2806,2207,21500,27960,32240,30520,40310,45500,42130,55300,62000,1,1,1,1,1,1
291,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,51,Information,1042,1198,979,24970,32810,40240,35550,44090,56300,47910,62050,78690,1,1,1,1,1,1
292,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,52,Finance and Insurance,825,1080,932,22980,30410,38480,31630,41710,52560,41290,55350,75960,1,1,1,1,1,1
293,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,53,Real Estate and Rental and Leasing,842,737,531,19720,25230,29560,27070,36710,43320,37680,49630,59310,1,1,1,1,1,1
294,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,54,"Professional, Scientific, and Technical Services",3179,4036,3067,33170,42790,47530,50530,61790,68260,72660,92500,98640,1,1,1,1,1,1
295,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,55,Management of Companies and Enterprises,409,496,469,22040,30680,35540,31110,43720,51730,42150,62240,79690,1,1,1,1,1,1
296,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,56,"Administrative and Support and Waste
Management and Remediation Services",7347,5542,3590,19890,24250,26280,28800,36380,40240,40870,54010,61520,1,1,1,1,1,1
297,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,61,Educational Services,1503,2049,1874,27070,33400,36870,41960,49440,52380,57090,66240,69710,1,1,1,1,1,1
298,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,62,Health Care and Social Assistance,1606,2301,2218,19560,25450,30240,26840,35200,43900,35820,48660,62140,1,1,1,1,1,1
299,2000,2000-2007,8,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,71,"Arts, Entertainment, and Recreation",628,636,440,17930,22570,24730,24680,32540,37180,33400,47180,59090,1,1,1,1,1,1
